,year_event,country_event,event
274,1974,Malta,"Malta becomes a Republic, with the last Governor-General, Sir Anthony Mamo, serving as its first President.  Malta remains a member of the Commonwealth of Nations."
275,1974,Portugal,The Carnation Revolution of 25 April puts an end to five decades of dictatorship.
276,1974,Romania,"Nicolae Ceauşescu becomes the first President of Romania. Romania become the first country in the Eastern Bloc ever to establish economic relations with the European Community. The Generalised System of Preferences is signed, followed by an Agreement on Industrial Products in 1980."
277,1974,Serbia,"A new federal Constitution awards greater powers to individual republics and provinces, shifting it into a voluntary confederation with a right of self-determination for each of the subjects. The Serbian Provinces of Kosovo and Metohija and Vojvodina are de facto separated from Serbia, as they were awarded state-treatment in the Federal Parliament, where they could veto any Serbian decision."
278,1974,Sweden,"ABBA song, Waterloo, becomes the group's first global hit"
279,1974,United Kingdom,Harold Wilson becomes Prime Minister for the second time.
280,1975,Austria,Niki Lauda wins the 1975 Formula One season against James Hunt.
281,1975,Bulgary,"The Helsinki Accords was signed by Bulgaria, giving citizens more freedom."
282,1975,Croatia,"The Treaty of Osimo was signed, under which Italy and Yugoslavia were allowed to annex their respective occupation zones in Trieste."
283,1975,Cyprus,"Turks announced a Federate State in the north, with Rauf Denktaş as leader. UN Forces remained as buffer between the two zones."
284,1975,Finland,Finland signed the Helsinki Accords.
285,1975,Iceland,Exclusive economic zone extended to 200 nautical miles.[citation needed]
286,1975,Italy,"The controversial Italian-French art film Salò, or the 120 Days of Sodom, is first released."
287,1975,Malta,Malta withdraws recognition of titles of nobility.
288,1975,Portugal,Independence is granted to all Portuguese colonies in Africa and independence is promised to Portuguese Timor.
289,1975,Russia,"Vietnam War: People's Army of Vietnam overrun and capitulate the city of Saigon, capital of South Vietnam."
290,1975,Spain,History of Spain (1975–present)
291,1975,United Kingdom,The United Kingdom chooses to remain a member state of the European Communities in a non-binding referendum.
292,1976,Albania,"Chinese Communist Party Chairman Mao Zedong died, leading eventually to a cooling of relations with Albania known as the Sino-Albanian split."
293,1976,Portugal,a new Constitution is approved. The Constitutional Assembly disestablishes itself.
294,1976,Romania,"At the age of 14, Nadia Comăneci becomes one of the stars of the 1976 Summer Olympics in Montreal. During the team portion of the competition, her routine on the uneven bars is scored at a 10.0. It is the first time in modern Olympic gymnastics history that the score had ever been awarded. Over the next years, Nadia will become one of the best known Romanians in the world;"
295,1976,Spain,Spanish transition to democracy: The transition began.
296,1976,Sweden,"Swedish authorities arrest internationally acclaimed film-maker Ingmar Bergman for alleged tax evasion and Bergman suffers nervous breakdown; charges declared unfounded and dropped, 23 March"
297,1976,United Kingdom,James Callaghan becomes Prime Minister.
298,1977,Albania,"Top military officials were purged after a ""Chinese conspiracy"" was uncovered."
299,1977,Belgium,1977 Belgian general election
300,1977,Cyprus,Makarios died. He was succeeded by Spyros Kyprianou.
301,1977,Romania,"On 4 March 21:20 local time, an earthquake occurs with a magnitude of 7.4 and epicentre in Vrancea at a depth of 94 kilometres.  The earthquake killed about 1,570 people and injured more than 11,000. Total damages are estimated at more than two billion dollars. On 1 July 35,000 out of 90,000 miners in Jiu Valley decide to stop working. Their protest is the biggest of this kind in Communist Romania before the 1989 revolution. The strike only ends when Nicolae Ceauşescu intervened in person."
302,1977,Russia,"Brezhnev Constitution adopted. The Communist Party was proclaimed ""the leading and guiding force of the Soviet society""."
303,1978,Albania,China terminated all economic and military aid to Albania.
304,1978,Belgium,Jacques Brel dies.
305,1978,Estonia,"One of the last Forest Brother guerilla movement fighter, August Sabbe, is discovered and killed in Estonia."
306,1978,Italy,Kidnapping of the former Prime Minister Aldo Moro by the Red Brigades.
307,1978,Romania,"Ion Mihai Pacepa, a senior officer in Securitate, defected to the United States becoming the highest ranking defector from the Eastern Bloc;"
308,1978,Russia,"Saur Revolution: Military units loyal to the PDPA assaulted the Afghan Presidential palace, killing President Mohammed Daoud Khan."
309,1978,Slovenia,"The ""South railway"" is electrified."
310,1978,Spain,The Spanish Constitution of 1978 was issued.
311,1978,Switzerland,A referendum approved the secession of the French-speaking canton of Jura from the mostly German-speaking canton of Bern.[12]
312,1978,United Kingdom,Louise Brown becomes the first human in history to be born via in vitro fertilisation.
313,1979,Italy,Arrest of several academics accused of subversive and terrorist activities.
314,1979,Malta,"Freedom Day, Termination of the Military Base Agreement.  The Duke of Edinburgh oversees the departure of the last British forces from Malta."
315,1979,Russia,Taraki was murdered by supporters of Prime Minister Hafizullah Amin.
316,1979,United Kingdom,Margaret Thatcher becomes the first female Prime Minister.
317,1980,Albania,"Hoxha selected Ramiz Alia as the next party head, bypassing Mehmet Shehu."
318,1980,Croatia,Tito died.  He was succeeded as President of the Presidency of Yugoslavia by the Macedonian Lazar Koliševski.
319,1980,Estonia,Youth riots in the capital of the Soviet Republic of Estonia are quickly suppressed.
320,1980,Iceland,"Vigdís Finnbogadóttir becomes president of Iceland, the first woman in the world to become elected head of state.[citation needed]"
321,1980,Italy,"Umberto Eco publishes The Name of the Rose, a medieval murder mystery."
322,1980,Portugal,"Prime minister Francisco Sá Carneiro and the Minister of Defence Amaro da Costa died in a plane crash, in strange circumstances."
323,1980,Romania,Construction of the Cernavodă Nuclear Power Plant begins. The fourth Communist constitution is ratified;
324,1980,Russia,Andrei Sakharov is exiled without charges to the closed industrial city of Gorky for opposing the invasion of Afghanistan.
325,1980,Serbia,Croatian dictator[8] Josip Broz Tito dies in Ljubljana at the age of 88. Ethnic tensions rise across the country.
326,1980,Slovenia,Tito dies at the Ljubljana University Medical Centre.
327,1981,Albania,"Shehu died, either by his own hand or on the orders of Hoxha."
328,1981,Belgium,1981 Belgian general election
329,1981,Croatia,The Yugoslavian Presidency rotated to the Slovenian Sergej Kraigher.
330,1981,France,François Mitterrand began his term as president of France.
331,1981,Italy,The prosecutors of Milan and the police discovered the existence of the P2 lodge. Head of loggia is Licio Gelli.
332,1981,Latvia,The modern Vanšu Bridge was opened across the Daugava River in Riga.
333,1981,Malta,"In the national election, the Malta Labour Party remained in Government notwithstanding the fact that 51% of the electorate voted in favour of the Partit Nazzjonalista.  In the wake of this result, the constitution is amended to provide a mechanism whereby the party with a majority of the popular vote would be awarded a sufficient number of additional seats to give it a legislative majority."
334,1981,Romania,The 1981 Summer Universiade becomes the most important sport event ever to be hosted by Romania. Dumitru Prunariu becomes the first Romanian in space;
335,1981,Serbia,"Riots erupt among Albanians of Kosovo, as they ask for the recognition of the State of Kosovo. The uprising was brutally suppressed by the JNA, as Kosovo Serbs fear being pulled into a civil war. By this date, the population share of Kosovo Serbs has dropped down to 15% compared to 25% a decade earlier."
336,1981,Spain,Spanish society after the democratic transition: A democratic society was established.
337,1981,United Kingdom,"The Humber Bridge opens, the longest single-span bridge in the world."
338,1982,Albania,Alia became Chairman of the Presidium of the People's Assembly.
339,1982,Croatia,The Yugoslavian Presidency rotated to the Serbian Petar Stambolić.
340,1982,Finland,Mauno Koivisto became president of Finland.[8]
341,1982,Finland,"Keke Rosberg wins the 1982 Formula One Championship, marking him the first Finnish Formula One driver to win a Championship."
342,1982,Germany,"Germany wins the Eurovision Song Contest 1982, marking their first win by Nicole with 'Ein Bißchen Frieden'"
343,1982,Italy,"Parliament approves law on ""collaborators of justice"". It was officially created the figure of Pentito."
344,1982,Russia,Suslov died after a severe stroke.
345,1982,Spain,Spain joins NATO.
346,1982,United Kingdom,Birth of Prince William of Wales.
347,1983,Albania,"Hoxha began his retirement, leaving more administrative power to Alia."
348,1983,Croatia,The Yugoslavian Presidency rotated to the Croatian Mika Špiljak.
349,1983,Cyprus,"The Turkish Federated State declared itself the independent Turkish Republic of Northern Cyprus (TRNC), with Denktaş as president. The new state was not recognised by any country except Turkey and was officially boycotted."
350,1983,Italy,"Mario Bros., the first game to officially feature the Italian video game character Mario, is released (both Donkey Kong and Mario Bros. were made by Nintendo R&D1, a defunct Japanese video game company owned by Nintendo). The game is also the first to feature Mario's younger brother Luigi, who is also of Italian nationality."
351,1983,Romania,"As part of the urban planning programme, significant portions of the historic centre of Bucharest are demolished in order to accommodate standardized apartment blocks and government buildings, including the grandiose Centrul Civic and the palatial House of the People, the second largest government building in the world;"
352,1983,Russia,South Korean Boeing 747 was shot down by the Soviet Air Forces
353,1984,Croatia,The Yugoslavian Presidency rotated to the Montenegrin Veselin Đuranović.
354,1984,Italy,"At the European Parliament elections, in the wake of the death of the leader Enrico Berlinguer, the PCI gains 33.3% of votes and overcomes the DC as first party in Italy."
355,1984,Portugal,Carlos Lopes wins the first Olympic gold medal for Portugal in the Los Angeles '84 marathon
356,1984,Romania,"Romania is, alongside People's Republic of China and Yugoslavia, one of the three Communist countries to take part to the 1984 Summer Olympics in Los Angeles, USA. The Danube-Black Sea Canal is finally completed after nearly four decades;"
357,1984,Russia,Andropov died after a lengthy kidney disease and was succeeded as General Secretary by Konstantin Chernenko.
358,1984,United Kingdom,"The UK miners' strike takes place, a major strike and protest to prevent Margaret Thatcher's government from closing down the British coal mining industry."
359,1984,United Kingdom,Birth of Prince Harry of Wales.
360,1985,Albania,Hoxha died.
361,1985,Belgium,Pope John Paul II visits Belgium.
362,1985,Croatia,The Yugoslavian Presidency rotated to the Vojvodin Radovan Vlajković.
363,1985,Ireland,The governments of Ireland and the United Kingdom sign the Anglo-Irish Agreement.
364,1985,Italy,Franco Modigliani receives the Nobel Prize for Economics for his work on household savings and the dynamics of financial markets.
365,1985,Russia,Chernenko died of emphysema.
366,1986,Albania,Alia was featured as the undisputed leader of the country and Party at the Ninth Party Congress.
367,1986,Belgium,"Sandra Kim wins the Eurovision Song Contest 1986 singing ""J'aime la vie"".[159]"
368,1986,Croatia,Ante Marković assumed the Presidency of Croatia.
369,1986,Finland,Finland became a member of the European Free Trade Association.
370,1986,France,Single European Act : a major revision of the Treaty of Rome to establish a common market by the end of 1992. (to 28 February 1987)
371,1986,Italy,"The start of the Maxi Trial against the Sicilian Mafia that took place in Palermo, Sicily. It lasted until 1992 (the final day of the Supreme Court of Cassation). Sicilian prosecutors indicted 475 mafiosi for a multitude of crimes, of which 338 were convicted and sentenced to a total of 2,665 years, not including life sentences handed to 19 bosses.[17]  It is considered to be the most significant trial ever against the Sicilian Mafia, as well as the biggest trial in world history.[18]"
372,1986,Portugal,"Portugal becomes a member of the European Economic Community, today's European Union'"
373,1986,Romania,"On 7 May, Steaua București win the European Cup and become the first football team from a Communist country to win the trophy;"
374,1986,Serbia,"The Memorandum of the Serbian Academy of Sciences and Arts is proclaimed in Belgrade, calling for a fundamental change and the country's reorganization. This document marks the rise of Serbian nationalism within SFRY, opening the Serbian Question,[9] at the time the country was battling ever-high recession and unemployment rate. Kosovo Serbs and Croatian Serbs are pointed out as the main victims of ethnic hatred and chauvinism,[10] following several clashes with local Albanians and Croats, respectively[citation needed]."
375,1986,Spain,Spain joined the European Union.[5]
376,1986,Sweden,"Murder of Prime Minister and Social Democratic leader, Olof Palme"
377,1986,United Kingdom,The Christmas episode of the soap opera EastEnders becomes the most-watched programme in the United Kingdom with a viewing of 30.1 million.
378,1987,Albania,Greece ended the state of war.
379,1987,Belgium,1987 Belgian general election
380,1987,Croatia,The Yugoslavian Presidency rotated to the Macedonian Lazar Mojsov.
381,1987,Germany,"Erich Honecker, the general secretary of the ruling party of East Germany, the Socialist Unity Party of Germany, paid a state visit to West Germany."
382,1987,Italy,Giovanni Goria is the new Prime Minister. His Cabinet lasts up to April 1988.
383,1987,Latvia,The first demonstration in Riga to commemorate the 1941 deportations took place.
384,1987,Romania,In a climate of economic depression and food shortages a rebellion erupts on November 15 in the city of Braşov. Over 300 protesters are arrested for hooliganism.
385,1988,Belgium,Stella Artois merges with Piedboeuf Brewery to form Interbrew
386,1988,Croatia,The Yugoslavian Presidency rotated to the Bosnian Raif Dizdarević.
387,1988,Estonia,"In Estonia, 300,000 demonstrate for independence."
388,1988,Italy,Ciriaco De Mita replaces Goria as Prime Minister. His Cabinet lasts one year.
389,1988,Italy,"Enzo Ferrari, founder of Ferrari and Scuderia Ferrari, died at the age of 90. Weeks after his death, both Ferrari drivers Gerhard Berger and Michele Alboreto dedicated the 1–2 finish for Enzo at Monza."
390,1988,Latvia,Mass demonstrations took place against the Molotov–Ribbentrop Pact.
391,1988,Russia,"Soviet–Afghan War: The Soviet government signed the Geneva Accords, which included a timetable for withdrawing their armed forces."
392,1988,United Kingdom,The Liberal Democrats are founded.
393,1989,Albania,"Alia, addressing the Eighth Plenum of the Central Committee, signalled that radical changes to the economic system were necessary."
394,1989,Bulgary,Communists in the government are replaced by democracy supporters.
395,1989,Croatia,The Yugoslavian Presidency rotated to the Slovenian Janez Drnovšek.
396,1989,Estonia,"After 44 years, the Estonian flag is raised on the Pikk Hermann castle tower."
397,1989,Germany,"Monday demonstrations in East Germany: A peaceful demonstration began in Leipzig, in East Germany, which called for democracy and the right of citizens to travel abroad."
398,1989,Italy,Sergio Leone dies of a heart attack.
399,1989,Romania,"On December 16, protests break out in Timișoara. Five days later Nicolae Ceaușescu organises a mass meeting in Bucharest. The jeers and whistles soon erupt into a riot, as the crowd takes to the streets, placing the capital in turmoil. Nicolae Ceaușescu and his wife leave Bucharest putting an end to four decades of Communist rule in Romania. On December 25, after a short trial, Nicolae Ceauşescu and his wife are executed."
400,1989,Russia,Soviet–Afghan War: The last Soviet troops left the country.
401,1989,Serbia,"Slobodan Milošević delivers his Gazimestan Speech in front of 1,000,000 Serbs at the central celebration marking the 600th anniversary of the Battle of Kosovo. He calls for a ""full equality among peoples of Yugoslavia"", demanding an end to the ""dramatic ethnic and political divisions"". This was basically a message to both his political (democratic) and nationalist (Croat, Bosniak) opponents. His popularity skyrockets among nationalist Serbs, leading to his victory in the elections for the Serbian president a few months later."
402,1989,United Kingdom,Tim Berners-Lee invents the World Wide Web.
403,1990,Albania,Demonstrations against the Ninth Plenum of the Central Committee at Shkodër forced authorities to declare state of emergency.
404,1990,Belgium,Constitutional crisis: King Baudouin suspended as king for 36 hours after refusing to sign a law legalising abortion
405,1990,Bulgary,Bulgaria is no longer a communist state and was renamed to the Republic of Bulgaria.[2]
406,1990,Croatia,A Communist Party Congress ended the party's legal monopoly in Croatia.
407,1990,Germany,1990 FIFA World Cup Final: West Germany beat the Argentine national team in the final match of the FIFA World Cup in Rome.
408,1990,Ireland,Mary Robinson becomes the first female President of Ireland.
409,1990,Italy,Former President Sandro Pertini dies.
410,1990,Latvia,The Latvian SSR Supreme Council adopted the declaration On the Restoration of Independence of the Republic of Latvia.
411,1990,Malta,Malta applies to join the European Union.
412,1990,Poland,Local elections
413,1990,Romania,"On 20 May, free elections are held in Romania for the first time after fifty years. FSN, which became a political party, win the elections. Ion Iliescu is elected the second President of Romania. Before and after the elections, a protest initiated by the students and professors of University of Bucharest, which was also supported by many intellectuals, demanded that former members of the Romanian Communist Party, which included Ion Iliescu, should be banned from elections. The protest was ended by the intervention of the miners from Jiu Valley, brought to Bucharest by Iliescu himself in what is remembered as the June 1990 Mineriad;"
414,1990,Russia,Singing Revolution: The Lithuanian government declared its independence from the Soviet Union.
415,1990,Serbia,"The League of Communists of Yugoslavia dissolves along ethnic lines, as Slovene and Croatian representatives storm out of the Congress after opposing the strengthening of the Union. The first free elections are held several months later in Croatia (Croatian parliamentary election, 1990) and Slovenia, where separatist options have prevailed overwhelmingly."
416,1990,Slovenia,"Milan Kučan wins the presidential election, which is still held within the SFR Yugoslavia."
417,1990,United Kingdom,John Major becomes Prime Minister.
418,1991,Albania,The opposition newspaper Rilindja Demokratike began publishing.
419,1991,Belgium,Assassination of Socialist politician André Cools.[160]
420,1991,Croatia,Pakrac clash: Croatian police arrested 180 Serb rebels who had occupied the town of Pakrac.
421,1991,Estonia,Latvia and Estonia vote for independence from the Soviet Union.
422,1991,Finland,A depression took place after an overheating of the economy.
423,1991,Italy,"Italy takes part in the Operation Desert Storm, during the Gulf War, for the liberation of Kuwait."
424,1991,Latvia,The Barricades: Pro-Communist political forces attempted to restore Soviet power in Latvia.
425,1991,Poland,Mława riot after Romani youth kills pedestrian in a hit-and-run
426,1991,Romania,A new constitution is ratified;
427,1991,Russia,January Events: Soviet troops violently seized important buildings in cities throughout Lithuania.
428,1991,Serbia,"Hundreds of thousands of people gather in downtown Belgrade peacefully demonstrating against Slobodan Milošević. The government orders ""restoration of order"" by force deploying tanks onto the streets of the capital. 2 people are killed and over 300 injured in the clashes that follow; the democratic opposition led by Vuk Drašković and Zoran Đinđić is de facto suppressed for years to come."
429,1991,Slovenia,Slovenia becomes an independent state by adopting and approving relevant official documents.
430,1991,United Kingdom,Helen Sharman becomes the first British person and the first European woman in space.
431,1992,Albania,"The People's Assembly prevents OMONIA, the party representing Greek Albanians, from fielding candidates in the elections planned for March."
432,1992,Belgium,Dirk Frimout is the first Belgian in Space
433,1992,Croatia,Operation Orkan 91: A ceasefire was negotiated.
434,1992,Cyprus,UN sponsored talks began between the two sides.
435,1992,Estonia,Estonia holds a referendum on its constitution.
436,1992,France,Maastricht Treaty: Members of the European Community (including France) signed a treaty creating what is now known as the European Union.
437,1992,Germany,The Maastricht Treaty establishing the European Union (EU) was signed by twelve European countries including Germany.
438,1992,Italy,"Mani pulite (clean hands), a nationwide judicial investigation into political corruption and influence-peddling, leads to the fall and dissolution of the Christian Democracy, and of the Socialist party, which had been the most influential political parties in Italy since 1948. Bettino Craxi flees to Tunisia to avoid prosecution."
439,1992,Poland,Adoption of Small Constitution
440,1992,Romania,Elections are held and Ion Iliescu wins a second mandate. Privatization of the industry starts;
441,1992,Russia,"Centralized price controls have been canceled. ""Liberalization of prices"" started."
442,1992,Serbia,SFRY (Second Yugoslavia) is abolished following the declaration of independence of the Republic of Macedonia.
443,1992,Slovenia,All members of the European Economic Community recognize Slovenia as a state.
444,1992,Spain,1992 Summer Olympics: The Summer Olympics were held in Barcelona.[6]
445,1993,Albania,"Nexhmije Hoxha is sentenced to nine years' imprisonment, having been found guilty of embezzling state funds."
446,1993,Belgium,King Baudouin of Belgium dies in Motril
447,1993,Croatia,Operation Maslenica: The Croatian army launched an offensive to reconquer Krajina territory in northern Dalmatia.
448,1993,Germany,Alliance '90/The Greens was established from the merger of Alliance 90 and the Green Party.
449,1993,Italy,Giulio Andreotti is under investigation for collusion with the mafia.
450,1993,Malta,Local Councils are re-established in Malta.
451,1993,Poland,Lufthansa Flight 2904
452,1993,Romania,Romania apply to become a member of the European Union. The first wireless telephony system becomes active;
453,1993,Russia,"Russian constitutional crisis of 1993: Yeltsin announced the dissolution of the Russian legislature. The legislature, in turn, responded by impeaching Yeltsin and declaring Aleksandr Rutskoy the new President of the Russian Federation."
454,1993,Serbia,The Croatian army invades southern regions of the self-proclaimed Republic of Serbian Krajina. In the clashes that follow between different paramilitary units up to 500 Krajina Serbs and 120 Croats lose their lives. The Croatian Army withdraws its forces after a successful campaign.
455,1993,Slovenia,Slovenia joins the Council of Europe.
456,1994,Albania,"Albania's postcommunist transformation continues, with more progress in some areas than others. Greek-Albanian relations deteriorate, and Athens blocks European Union loans to Tirana, impeding Albania's much-needed integration into Europe. Gross domestic product grows by 8%, and inflation continues its downward spiral. Unemployment, however, remains the country's Achilles' heel; more than 300,000 workers are unemployed. Some $400 million sent home by Albanian emigrants play a vital role in boosting the domestic economy by increasing the volume of disposable income. For most, economic hardship and widespread poverty are the norm. Albania's foreign debt continues to soar. The political climate is relatively stable, but hostility between ruling and opposition forces continues to surface. The Socialist Party and other political groups accuse President Sali Berisha of becoming increasingly authoritarian. Albania makes considerable progress in foreign affairs, although relations with some of its neighbours continue to be fraught with problems. The impasse in relations between Belgrade and Tirana persists, but ties with Bulgaria, Turkey, the Republic of Macedonia, and Italy further improve. Relations with Greece raise worries about a new Balkan flash point."
457,1994,Croatia,Croat–Bosniak War: The war was effectively ended with a ceasefire.
458,1994,Estonia,The Russian army leaves Estonia.
459,1994,Finland,Martti Ahtisaari became president of Finland.[8]
460,1994,Germany,The Federal Constitutional Court held that the Bundeswehr could take part in UN peacekeeping operations outside NATO territory.
461,1994,Iceland,Iceland joins the European Economic Area.[citation needed]
462,1994,Italy,"Media magnate Silvio Berlusconi becomes Prime Minister for a rightist coalition. However, the pact between northern autonomists and southern post-fascists collapsed late in the year, and Berlusconi is forced to resign as prime minister."
463,1994,Poland,Poland bus disaster of 1994
464,1994,Russia,First Chechen War: The leader of the Russian-backed Provisional Council of the Chechen Republic announced his intention to overthrow the Dudaev government.
465,1994,Sweden,MS Estonia sinks en route from Tallinn to Stockholm; 852 people on board lose their lives
466,1994,United Kingdom,"The Channel Tunnel opens, the first physical connection between the United Kingdom and France."
467,1995,Albania,"Berisha still faces formidable political, economic, and social problems. The leading opposition Socialist Party threatens the Democratic Party's hold on power, while the latter cites notable successes in economic and foreign affairs and predicts victory in the parliamentary elections scheduled for March 1996. Among the 49 new legislative decisions approved by the People's Assembly in 1995 are land and property laws that positively affect the flow of domestic and foreign investments, especially in the field of agriculture. The process of privatization continues, with some 1,400 small-sized enterprises privatized. Albania's $700 million foreign debt is substantially reduced. Gross domestic product grows by an estimated 6%, and inflation drops to about 10%. The agricultural, construction, and private-service sectors register high rates of growth – 15%, 90%, and 25%, respectively. The industrial sector remains the weakest economic link, with continued production losses. Exports also lag. Continued progress is made in foreign affairs, with the exception of an impasse between Tirana and Belgrade. A slight improvement in Greek-Albanian relations is evidenced. U.S.-Albanian military cooperation develops quickly. Joint projects in 1995 include U.S. intelligence-gathering flights to Bosnia and Herzegovina from bases in Albania, exchanges of high-level military delegations, medical and military exercises, and the construction of Albania's only military hospital."
468,1995,Belgium,1995 Belgian federal election
469,1995,Bulgary,Zhan Videnov took office after the angry reactions against a reform on the economy.
470,1995,Croatia,Operation Flash: The Croatian Army launched an offensive which would reconquer the territory of the former Western Slavonia in Krajina.
471,1995,Cyprus,"The UN talks ran into the sand, but with a commitment to resume."
472,1995,Finland,Finland joined the European Union.
473,1995,France,Jacques Chirac began his term as president of France.
474,1995,Ireland,"Ireland enters the Celtic Tiger period, a time of high economic growth which continues until 2007."
475,1995,Poland,Presidential election
476,1995,Romania,The Stock Exchange reopens in Bucharest;
477,1995,Serbia,"Operation Flash, conducted by the Croatian Army in May, successfully recaptures Republic of Serbian Krajina-held west Slavonia. 30.000 Croatian Serbs were forced out of the area and 285 have been killed during this action. 1,500 were arrested and imprisoned.[27]"
478,1995,Sweden,Sweden becomes a member of the European Union
479,1996,Albania,"Gross domestic product grows by an estimated 8%, while inflation rises by about 4–5%, mainly owing to the introduction of a value-added tax. Unemployment drops to a total of 170,000, or about 13%. The agricultural and especially the construction and private-service sectors continue to register robust two-digit growth. Remittances from Albanian émigrés in Greece, Italy, Germany, and the U.S. still account for an estimated 20% of GDP. The nation's relationship with Greece is improved when a high-ranking Greek official visits Albania, and a number of important cooperation agreements are signed. The impasse between Tirana and Belgrade continues, although ethnic Albanians from Kosovo are allowed to travel to Albania. Tirana dispatches a 33-man peacekeeping force to the German contingent of IFOR (the NATO-led Implementation Force) in Bosnia and Herzegovina, the first time in the country's history that Albanian troops have been stationed abroad."
480,1996,Belgium,"White March: approximately 300,000 people demonstrate to protest police and judicial inefficiency and demand improved child protection in the wake of the Dutroux affair"
481,1996,Croatia,The UNTAES mission began.
482,1996,Iceland,Ólafur Ragnar Grímsson becomes president.[citation needed]
483,1996,Italy,"Romano Prodi becomes Prime Minister for the Olive Tree coalition, voted into power with the external support of the communists."
484,1996,Malta,The new Labour government suspends Malta's EU application.
485,1996,Romania,Emil Constantinescu becomes the third President of Romania;
486,1996,Russia,"1996 Russian presidential election: Yeltsin narrowly defeated his Communist challenger, Gennady Zyuganov."
487,1996,United Kingdom,A sheep named Dolly becomes the first mammal to be cloned from an adult somatic cell.
488,1997,Albania,"In the 1997 unrest in Albania the general elections of June 1997 brought the Socialists and their allies to power. President Berisha resigned from his post, and Socialists elected Rexhep Meidani as president of Albania. Albanian Socialist Party Chairman Fatos Nano was elected Prime Minister, a post which he held until October 1998, when he resigned as a result of the tense situation created in the country after the assassination of Azem Hajdari, a prominent leader of the Democratic Party. Pandeli Majko was then elected Prime Minister, and he served in this post until November 1999, when he was replaced by Ilir Meta. Albania approved its constitution through a popular referendum which was held in November 1998, but which was boycotted by the opposition. The general local elections of October 2000 marked the loss of control of the Democrats over the local governments and a victory for the Socialists."
489,1997,Bulgary,"After the BSP government in Bulgaria fell, the UDF took its place.[2]"
490,1997,Croatia,"Croatian presidential election, 1997: Tuđman was reelected with 61% of the vote."
491,1997,Italy,Valentino Rossi wins his first World Championship at the 1997 Grand Prix motorcycle racing season.
492,1997,Poland,Adoption of Constitution
493,1997,Romania,Romania join the countries able to use GSM telephony;
494,1997,Slovenia,"The second presidential election is held, with Milan Kučan securing his second mandate."
495,1997,Spain,Spain hosts the 1997 NATO Summit.
496,1997,United Kingdom,Tony Blair becomes Prime Minister.
497,1998,Albania,"Following widespread allegations of government inefficiency and corruption in his administration, Nano reshuffles his cabinet, reducing the number of ministers."
498,1998,Croatia,The UNTAES mission ended.
499,1998,Finland,"Mika Hakkinen wins the Championship against Michael Schumacher, in Japan."
500,1998,France,France won the 1998 World Cup of football on home soil. This was their first FIFA World Cup title.
501,1998,Germany,Eschede train disaster
502,1998,Ireland,"The Belfast Agreement is signed; as a result, the Northern Ireland Assembly is elected, to which powers are devolved in 1999 and a power-sharing Executive takes office."
503,1998,Italy,"20 skiers (of which 3 Italians) die in the Cavalese cable car disaster, when a US EA-6B Prowler military jet severed the cables supporting the Cermis mountain cable car. Pilots will be later found not guilty by an American court."
504,1998,Malta,The new Nationalist government reactivates Malta's EU application.
505,1998,Poland,Local elections
506,1998,Portugal,Lisbon organizes the World's Fair Expo '98.[12]
507,1998,Serbia,Clashes between the Yugoslav Army and the rebel Albanian forces started in Kosovo (KLA) escalate into a violent conflict. A civil war between the majority Albanians and minority Serbs is underway.
508,1998,Slovenia,Slovenia becomes a non-permanent member of the UN Security Council.
509,1998,Spain,Judge Baltasar Garzón issued an international arrest warrant for former Chilean dictator Augusto Pinochet.
510,1999,Albania,"During the 78 days of NATO bombing of Yugoslavia, about 450,000 of a total 750,000 Kosovar refugees flee into Albania. That figure is equal to almost 15% of Albania's total population. The hostilities turn Albania into a key operational theatre for international relief agencies and NATO forces in Albania, called Kosovo Force (KFOR), which launch a humanitarian relief operation. In addition, within the framework of the NATO air campaign, U.S. forces deploy 24 Apache antitank helicopters and long-range artillery pieces in northern Albania. The northern Albanian border regions of Kukës and Tropojë bear the brunt of the refugee influx and military operations. Supplying the refugees and transporting them to other parts of the country creates immense logistic difficulties for the United Nations High Commissioner for Refugees and other relief agencies. The region also sees ongoing border clashes between Yugoslav forces, who continually shell Albanian border villages, and Kosovo Liberation Army (KLA) fighters operating in part from support bases inside Albania. The border area remains heavily mined after the fighting subsides. With the end of the fighting, Albania's relations improve with its neighbours – Montenegro, Macedonia, Greece, and the new UN administration in Kosovo, with whom the Albanian Foreign Ministry plans a series of joint regional development projects within the framework of the European Union-funded Stability Pact for South Eastern Europe. Early accomplishments include the installation of a powerful microwave-telephone connection between Albania and Kosovo and the signing of infrastructure development projects with Montenegro. (to June)"
511,1999,Belgium,1999 Belgian federal election
512,1999,Croatia,Tuđman was declared incapacitated due to illness. Speaker of the Croatian Parliament Vlatko Pavletić became acting president.
513,1999,Finland,Finland joined the Eurozone.
514,1999,Germany,NATO bombing of Yugoslavia: NATO forces began bombing the Federal Republic of Yugoslavia in support of the Kosovo Liberation Army.
515,1999,Ireland,"Ireland yields its official currency, the Irish pound, and adopts the Euro."
516,1999,Italy,Italy is accepted in the eurozone.
517,1999,Poland,16 new voivodeships created in Polish local government reforms
518,1999,Poland,Accession of Poland to NATO
519,1999,Portugal,"Macau, the last overseas Portuguese colony, is returned to China"
520,1999,Russia,Dagestan War: A Chechnya-based militia invaded the Russian republic of Dagestan in support of local separatists.
